name,color,latitude,longitude,alt
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
-,blue,40.01104656237027,-83.01458542369747,120.0
